	#	Owner	Build name	Sets	Crit RatioCrit ValueCrit RateCrit DMG	Max HP	ATK	DEF	EM	ER%	Unnamed: 10
444	69267.0	ASIAふら	Hu Tao	4.0	58.7 : 239.3 192.0 cv	36724.0	1968.0	1022.0	19.0	111.0%	39940.0
445	69268.0	EUEfialtis	Hu Tao	4.0	46.2 : 278.9 206.8 cv	27524.0	1772.0	1068.0	208.0	111.0%	39940.0
446	69269.0	NAFelixZn	Hu Tao	4.0	75.0 : 206.6 192.0 cv	33884.0	1755.0	1085.0	37.0	105.8%	39940.0
447	69270.0	NAAbby	Hu Tao	4.0	59.8 : 218.3 173.4 cv	28216.0	1648.0	899.0	224.0	105.2%	39940.0
448	69271.0	ASIACarl	Hu Tao	4.0	64.9 : 226.1 191.2 cv	33969.0	2031.0	876.0	19.0	104.5%	39940.0
449	69272.0	ASIA羽丹生	Hu Tao	4.0	57.9 : 240.0 191.2 cv	32582.0	1934.0	876.0	63.0	129.2%	39940.0
450	69273.0	NAkingjj	Hu Tao	4.0	45.1 : 296.8 222.3 cv	31288.0	1831.0	918.0	117.0	106.5%	39940.0
451	69274.0	EUPikmin	Hu Tao	4.0	57.5 : 245.5 195.9 cv	33436.0	1645.0	1211.0	103.0	116.2%	39940.0
452	69275.0	NASakura	Hu Tao	22.0	61.4 : 254.1 212.3 cv	34034.0	1864.0	1022.0	124.0	100.0%	39940.0
453	69276.0	ASIAHadies	Hu Tao	4.0	64.9 : 237.7 202.9 cv	37078.0	1810.0	1058.0	0.0	111.7%	39939.0
454	69277.0	ASIAこめっと	Hu Tao	4.0	62.9 : 252.5 213.8 cv	36509.0	1770.0	1004.0	0.0	105.8%	39939.0
455	69278.0	NAPellost	Hu Tao	4.0	65.7 : 219.8 186.6 cv	24937.0	1713.0	999.0	208.0	116.8%	39939.0
456	69279.0	EUdummbatz	Hu Tao	4.0	57.1 : 215.2 164.8 cv	30929.0	1826.0	1194.0	163.0	111.0%	39939.0
457	69280.0	NAIzuru	Hu Tao	22.0	70.3 : 225.3 201.4 cv	28291.0	1587.0	991.0	267.0	133.7%	39939.0
458	69281.0	EUTonel	Hu Tao	4.0	64.1 : 240.8 204.4 cv	36151.0	1916.0	974.0	0.0	100.0%	39939.0
459	69282.0	EUm4risa	Hu Tao	4.0	60.2 : 240.8 196.7 cv	33738.0	1921.0	963.0	37.0	106.5%	39939.0
460	69283.0	ASIAmysto	Hu Tao	4.0	70.7 : 195.7 172.6 cv	30690.0	1772.0	950.0	121.0	131.1%	39939.0
461	69284.0	ASIAむそ	Hu Tao	4.0	64.9 : 230.7 195.9 cv	34521.0	1810.0	993.0	35.0	116.8%	39938.0
462	69285.0	ASIASkarlet	Hu Tao	4.0	59.8 : 254.0 209.1 cv	34037.0	1805.0	1010.0	35.0	111.7%	39938.0
463	69286.0	NAorbzv	Hu Tao	4.0	66.8 : 229.1 198.2 cv	33586.0	1801.0	997.0	37.0	138.2%	39938.0
464	69287.0	EU彡Allice彡	Hu Tao	4.0	41.9 : 282.0 201.4 cv	32303.0	1644.0	1014.0	207.0	100.0%	39938.0
465	69288.0	ASIARichard99	Hu Tao	4.0	66.0 : 223.7 191.2 cv	35187.0	1743.0	990.0	44.0	114.9%	39938.0
466	69289.0	ASIAZen	Hu Tao	4.0	69.2 : 216.7 190.5 cv	33584.0	1955.0	1080.0	21.0	111.7%	39938.0
467	69290.0	ASIAChickito	Hu Tao	4.0	66.4 : 208.9 177.2 cv	36113.0	1847.0	950.0	42.0	100.0%	39938.0
468	69291.0	NAtuyusimp	Hu Tao	4.0	60.2 : 229.9 185.8 cv	35328.0	1791.0	936.0	61.0	110.4%	39938.0
469	69292.0	ASIAyou(´･ω･	Hu Tao	4.0	47.8 : 269.6 200.6 cv	32132.0	1783.0	934.0	133.0	124.0%	39938.0
470	69293.0	ASIAプレイ屋	Hu Tao	4.0	38.1 : 284.4 195.9 cv	29630.0	1890.0	977.0	210.0	110.4%	39938.0
471	69294.0	NANaci	Hu Tao	4.0	49.3 : 257.1 191.2 cv	32759.0	2035.0	895.0	82.0	100.0%	39938.0
472	69295.0	NAHein?	Hu Tao	4.0	46.6 : 268.8 197.4 cv	35151.0	1731.0	960.0	117.0	105.8%	39938.0
473	69296.0	NAJoe	Hu Tao	4.0	52.1 : 275.8 215.4 cv	26883.0	1842.0	1007.0	142.0	104.5%	39938.0
474	69297.0	NASlawbunnies	Hu Tao	4.0	71.1 : 247.8 225.5 cv	33860.0	1682.0	1091.0	0.0	118.1%	39938.0
475	69298.0	ASIALumine	Hu Tao	4.0	64.1 : 240.0 203.7 cv	34340.0	1714.0	1287.0	42.0	100.0%	39938.0
476	69299.0	EUuwaifu	Hu Tao	4.0	47.8 : 286.7 217.7 cv	26157.0	1620.0	1001.0	245.0	109.7%	39937.0
477	69300.0	EUHodor	Hu Tao	4.0	66.8 : 252.5 221.5 cv	28019.0	2019.0	927.0	21.0	113.0%	39937.0
478	69301.0	EUスラヴァくん	Hu Tao	4.0	70.3 : 212.0 188.1 cv	33464.0	1661.0	1096.0	75.0	123.3%	39937.0
479	69302.0	ASIA잼민단	Hu Tao	4.0	61.8 : 210.5 169.5 cv	37817.0	1925.0	1320.0	40.0	100.0%	39937.0
480	69304.0	EUslythira	Hu Tao	4.0	60.6 : 245.5 202.1 cv	32408.0	1685.0	1224.0	84.0	105.2%	39937.0
481	69305.0	ASIASian	Hu Tao	4.0	57.1 : 222.9 172.6 cv	34792.0	1836.0	1099.0	93.0	105.2%	39937.0
482	69306.0	ASIAdizzle	Hu Tao	4.0	70.7 : 231.5 208.3 cv	34320.0	1725.0	1004.0	16.0	100.0%	39937.0
483	69307.0	ASIAmiruki	Hu Tao	4.0	54.0 : 245.5 188.9 cv	26187.0	1695.0	1008.0	241.0	114.9%	39937.0
484	69308.0	ASIATilty	Hu Tao	4.0	33.8 : 286.7 189.7 cv	29242.0	1789.0	990.0	301.0	111.7%	39937.0
485	69309.0	EU❣Ŧɾҽყα☺	Hu Tao	4.0	40.8 : 322.4 239.4 cv	26338.0	1662.0	1267.0	227.0	100.0%	39937.0
486	69310.0	EUsab☽✧	Hu Tao	22.0	66.8 : 266.4 235.5 cv	35941.0	1809.0	913.0	58.0	105.8%	39936.0
487	69311.0	NAHale	Hu Tao	4.0	57.1 : 198.1 147.7 cv	35214.0	2130.0	876.0	84.0	124.6%	39936.0
488	69312.0	NARoux	Hu Tao	4.0	62.2 : 237.7 197.5 cv	34997.0	1901.0	916.0	21.0	112.3%	39936.0
489	69313.0	ASIASoyaa	Hu Tao	4.0	58.7 : 269.6 222.3 cv	33095.0	1650.0	1090.0	56.0	111.0%	39935.0
490	69314.0	ASIAHeiLeong	Hu Tao	4.0	56.7 : 250.9 199.8 cv	33409.0	2016.0	941.0	35.0	111.7%	39935.0
491	69315.0	ASIAクレア	Hu Tao	4.0	74.2 : 212.8 196.7 cv	33618.0	1856.0	1073.0	16.0	106.5%	39935.0
492	69316.0	NAComplexz	Hu Tao	4.0	69.5 : 246.3 220.8 cv	31507.0	1657.0	1034.0	40.0	116.2%	39935.0
493	69317.0	EUMeow_Neko^^	Hu Tao	4.0	63.3 : 226.8 188.9 cv	33961.0	1844.0	921.0	51.0	118.1%	39935.0
494	69318.0	NASkele	Hu Tao	4.0	64.9 : 233.8 199.0 cv	32866.0	1882.0	976.0	35.0	110.4%	39935.0
495	69319.0	ASIADecaf	Hu Tao	4.0	52.4 : 251.7 192.0 cv	35902.0	1853.0	927.0	63.0	116.8%	39935.0
496	69320.0	ASIAMeLumi	Hu Tao	4.0	55.5 : 188.7 135.3 cv	37852.0	2030.0	941.0	103.0	116.2%	39935.0
497	69321.0	NAAlpha	Hu Tao	4.0	62.5 : 216.7 177.2 cv	34371.0	1984.0	973.0	47.0	111.7%	39935.0
498	69322.0	NACr3amy	Hu Tao	4.0	54.4 : 227.6 171.8 cv	31706.0	1842.0	996.0	145.0	100.0%	39934.0
499	69323.0	ASIAMomotKiritsugu	Hu Tao	4.0	61.4 : 261.8 219.9 cv	33192.0	1999.0	1180.0	0.0	100.0%	39934.0
500	69324.0	NATulip	Hu Tao	4.0	69.5 : 246.2 220.8 cv	34253.0	1726.0	1004.0	0.0	126.6%	39934.0
501	69325.0	ASIAナラすずぼく	Hu Tao	4.0	44.7 : 271.9 196.7 cv	28024.0	1767.0	1141.0	210.0	100.0%	39934.0
502	69326.0	NAAder	Hu Tao	4.0	59.8 : 221.4 176.5 cv	31228.0	1822.0	999.0	124.0	110.4%	39934.0
503	69327.0	EUNad	Hu Tao	4.0	71.9 : 219.8 199.0 cv	36111.0	1859.0	1170.0	0.0	106.5%	39934.0
504	69328.0	EUSlastena	Hu Tao	4.0	62.2 : 214.4 174.1 cv	24857.0	1626.0	1116.0	258.0	111.0%	39934.0
505	69329.0	NAsmashus	Hu Tao	4.0	55.5 : 180.2 126.7 cv	33562.0	1748.0	876.0	248.0	149.2%	39934.0
506	69330.0	NASpøOki★。	Hu Tao	4.0	66.4 : 264.9 233.2 cv	32829.0	1632.0	1151.0	19.0	111.7%	39934.0
507	69331.0	NAKanade	Hu Tao	4.0	72.3 : 225.3 205.2 cv	34609.0	1828.0	984.0	0.0	116.2%	39933.0
508	69332.0	ASIAkyou	Hu Tao	4.0	61.4 : 233.0 191.2 cv	25709.0	1674.0	1222.0	210.0	100.0%	39933.0
509	69333.0	ASIATurby	Hu Tao	4.0	61.0 : 209.7 167.2 cv	27628.0	1788.0	929.0	206.0	109.7%	39933.0
510	69334.0	ASIAだい	Hu Tao	4.0	49.7 : 277.3 212.2 cv	30899.0	1983.0	953.0	75.0	118.8%	39933.0
511	69335.0	EUGRAYHAWK	Hu Tao	4.0	63.7 : 215.9 178.8 cv	36601.0	1712.0	1012.0	63.0	130.4%	39933.0
512	69336.0	ASIATrip	Hu Tao	4.0	72.7 : 226.8 207.6 cv	32956.0	1901.0	1045.0	0.0	111.7%	39933.0
513	69337.0	EUМясо	Hu Tao	4.0	51.3 : 224.5 162.4 cv	33827.0	1780.0	995.0	163.0	117.5%	39932.0
514	69338.0	NAskubby	Hu Tao	4.0	55.9 : 239.3 186.6 cv	37215.0	1892.0	948.0	40.0	123.3%	39932.0
515	69339.0	NAMODEX	Hu Tao	4.0	55.9 : 230.7 178.0 cv	39113.0	1849.0	1082.0	40.0	111.0%	39932.0
516	69340.0	EUSauce	Hu Tao	4.0	54.4 : 233.0 177.2 cv	32590.0	1927.0	897.0	98.0	156.4%	39932.0
517	69341.0	ASIALynch	Hu Tao	4.0	62.2 : 204.3 164.0 cv	35360.0	1769.0	997.0	100.0	129.2%	39932.0
518	69342.0	EU3LoD13	Hu Tao	4.0	64.9 : 189.5 154.7 cv	26881.0	1772.0	1145.0	248.0	105.8%	39931.0
519	69343.0	ASIAmrekk	Hu Tao	4.0	51.7 : 247.8 186.5 cv	34430.0	1786.0	1094.0	105.0	100.0%	39931.0
520	69344.0	ASIAHimitsu	Hu Tao	4.0	44.7 : 298.3 223.1 cv	33885.0	1844.0	960.0	79.0	105.8%	39931.0
521	69345.0	EUDice	Hu Tao	4.0	69.9 : 229.9 205.2 cv	31923.0	1803.0	1056.0	35.0	105.2%	39931.0
522	69346.0	EUZeliicko	Hu Tao	4.0	62.9 : 236.1 197.4 cv	34160.0	1849.0	998.0	35.0	117.5%	39931.0
523	69347.0	NAPyro	Hu Tao	4.0	51.3 : 306.1 244.1 cv	31377.0	1853.0	929.0	42.0	104.5%	39930.0
524	69348.0	NAAvina	Hu Tao	4.0	68.4 : 213.6 185.8 cv	34795.0	1794.0	1285.0	44.0	106.5%	39930.0
525	69349.0	ASIA君はもう	Hu Tao	22.0	59.5 : 262.6 216.9 cv	33484.0	1991.0	876.0	107.0	100.0%	39930.0
526	69350.0	ASIAKira	Hu Tao	4.0	62.2 : 221.4 181.1 cv	35573.0	1894.0	976.0	44.0	121.4%	39930.0
527	69351.0	EUCrafaitmal	Hu Tao	4.0	61.4 : 249.4 207.5 cv	34065.0	1757.0	913.0	40.0	111.7%	39930.0
528	69352.0	NALeviatan	Hu Tao	4.0	41.2 : 236.9 154.7 cv	32527.0	1715.0	978.0	292.0	121.4%	39930.0
529	69353.0	EUMakaka	Hu Tao	4.0	54.4 : 215.2 159.4 cv	28329.0	1830.0	1032.0	231.0	100.0%	39930.0
530	69354.0	ASIABoa	Hu Tao	4.0	69.2 : 247.0 220.8 cv	34181.0	1736.0	994.0	0.0	104.5%	39930.0
531	69355.0	ASIAPiercing™	Hu Tao	22.0	76.2 : 188.0 175.7 cv	38670.0	2139.0	978.0	124.0	105.8%	39929.0
532	69356.0	EUYummison	Hu Tao	4.0	59.8 : 225.3 180.3 cv	33977.0	1897.0	936.0	68.0	117.5%	39929.0
533	69357.0	EUDemices	Hu Tao	4.0	58.3 : 207.4 159.4 cv	33875.0	1705.0	927.0	156.0	140.2%	39929.0
534	69358.0	ASIAAkshayEDM	Hu Tao	4.0	56.3 : 243.9 192.0 cv	32222.0	1814.0	1033.0	96.0	109.1%	39929.0
535	69359.0	ASIA4차원비둘기	Hu Tao	4.0	48.2 : 301.5 233.2 cv	33771.0	1726.0	1041.0	70.0	100.0%	39929.0
536	69360.0	ASIAJ.♧	Hu Tao	4.0	52.8 : 275.0 216.1 cv	32322.0	1841.0	1142.0	65.0	100.0%	39929.0
537	69361.0	NAMegas	Hu Tao	4.0	68.4 : 221.4 193.6 cv	33410.0	1838.0	1160.0	37.0	105.8%	39929.0
538	69362.0	NANiko	Hu Tao	22.0	75.8 : 220.6 207.6 cv	32254.0	1919.0	920.0	164.0	120.1%	39928.0
539	69363.0	EURuta	Hu Tao	4.0	66.0 : 243.9 211.4 cv	31597.0	1688.0	1272.0	58.0	100.0%	39928.0
540	69364.0	ASIAtim2	Hu Tao	4.0	68.4 : 258.7 230.9 cv	31922.0	1676.0	1045.0	19.0	117.5%	39928.0
541	69365.0	EUКлитор	Hu Tao	4.0	53.2 : 260.2 202.1 cv	31507.0	1637.0	1138.0	140.0	123.3%	39928.0
542	69366.0	ASIAなたね	Hu Tao	4.0	47.0 : 289.8 219.2 cv	34584.0	1710.0	1044.0	145.0	109.7%	39928.0
543	69367.0	ASIAGorrMalus	Hu Tao	4.0	50.1 : 240.8 176.5 cv	28904.0	2198.0	892.0	110.0	115.5%	39928.0
544	69368.0	TW阿爾伯特	Hu Tao	4.0	55.2 : 234.6 180.3 cv	31437.0	1826.0	1105.0	131.0	100.0%	39928.0
545	69369.0	NAGANGGANG	Hu Tao	4.0	68.0 : 252.5 223.9 cv	31975.0	1648.0	1089.0	35.0	100.0%	39928.0
546	69370.0	NAMaria	Hu Tao	4.0	62.9 : 247.8 209.2 cv	32968.0	1740.0	1051.0	47.0	100.0%	39928.0
547	69371.0	ASIAユキ	Hu Tao	4.0	70.7 : 243.9 220.8 cv	32618.0	1810.0	1164.0	0.0	106.5%	39928.0
548	69372.0	ASIAChunchunmaru~	Hu Tao	4.0	62.6 : 263.4 223.9 cv	33185.0	1751.0	1010.0	21.0	109.7%	39928.0
549	69373.0	NAProtocyte	Hu Tao	4.0	60.2 : 212.1 167.9 cv	34819.0	1720.0	1080.0	114.0	125.9%	39928.0
550	69374.0	ASIA도도	Hu Tao	4.0	59.8 : 231.5 186.5 cv	33763.0	1759.0	1101.0	84.0	100.0%	39928.0
551	69375.0	ASIA세이버	Hu Tao	4.0	68.4 : 227.6 199.8 cv	37212.0	1777.0	1007.0	0.0	122.7%	39927.0
552	69376.0	ASIAprassiuuuuu	Hu Tao	4.0	61.8 : 261.0 220.0 cv	32622.0	1648.0	1046.0	54.0	121.4%	39927.0
553	69377.0	ASIA여행자	Hu Tao	2.0	65.3 : 229.1 195.1 cv	33739.0	1958.0	876.0	193.0	100.0%	39927.0
554	69378.0	ASIAJoe	Hu Tao	4.0	68.8 : 242.4 215.3 cv	33097.0	1864.0	959.0	0.0	100.0%	39927.0
555	69379.0	ASIA달연꽃	Hu Tao	4.0	63.3 : 203.5 165.6 cv	31138.0	1941.0	1092.0	112.0	100.0%	39927.0
556	69380.0	ASIAItsumi	Hu Tao	4.0	54.0 : 269.6 213.0 cv	36632.0	1743.0	984.0	35.0	106.5%	39926.0
557	69381.0	NAgoose	Hu Tao	4.0	71.5 : 192.6 171.0 cv	32101.0	1652.0	1016.0	131.0	126.6%	39926.0
558	69382.0	ASIAGanjako	Hu Tao	4.0	59.8 : 207.4 162.5 cv	35218.0	1691.0	1083.0	128.0	110.4%	39926.0
559	69383.0	ASIAgooseboy	Hu Tao	4.0	64.9 : 247.8 213.0 cv	35722.0	1789.0	953.0	0.0	116.8%	39926.0
560	69384.0	EUгорбуша	Hu Tao	22.0	68.0 : 260.2 231.6 cv	32975.0	1650.0	962.0	120.0	118.1%	39926.0
561	69385.0	ASIA--Ethereal--	Hu Tao	4.0	64.5 : 252.5 216.9 cv	33277.0	1675.0	1031.0	37.0	100.0%	39926.0
562	69386.0	ASIAOrion	Hu Tao	4.0	63.3 : 237.7 199.8 cv	33400.0	1939.0	957.0	23.0	100.0%	39926.0
563	69387.0	ASIAドララン	Hu Tao	4.0	39.2 : 300.7 214.5 cv	32073.0	1662.0	950.0	208.0	114.9%	39926.0
564	69388.0	EUBOOMER	Hu Tao	4.0	72.7 : 254.0 234.8 cv	31288.0	1730.0	1164.0	0.0	112.3%	39926.0
565	69389.0	EUWADEA	Hu Tao	4.0	61.0 : 236.1 193.5 cv	35276.0	1811.0	983.0	42.0	106.5%	39926.0
566	69390.0	NADerpy	Hu Tao	4.0	70.7 : 227.6 204.5 cv	33707.0	1774.0	939.0	21.0	136.9%	39926.0
567	69391.0	NAScarlet	Hu Tao	4.0	55.9 : 214.4 161.7 cv	36923.0	1786.0	950.0	103.0	116.8%	39925.0
568	69392.0	ASIAПепе	Hu Tao	4.0	53.2 : 289.0 230.9 cv	25671.0	1558.0	993.0	203.0	126.6%	39925.0
569	69393.0	EUNuma	Hu Tao	22.0	70.3 : 257.1 233.2 cv	24764.0	1539.0	916.0	267.0	127.2%	39925.0
570	69394.0	NA세r시한남자	Hu Tao	4.0	52.4 : 217.5 157.8 cv	34950.0	1890.0	961.0	128.0	114.9%	39925.0
571	69395.0	ASIALex	Hu Tao	4.0	41.2 : 301.4 219.2 cv	35130.0	1786.0	939.0	103.0	105.2%	39925.0
572	69396.0	EUKCParongan™	Hu Tao	22.0	80.4 : 225.3 221.6 cv	35813.0	1740.0	1064.0	63.0	111.7%	39924.0
573	69397.0	EUcatmob	Hu Tao	4.0	50.9 : 265.7 202.9 cv	33486.0	1712.0	1023.0	107.0	104.5%	39924.0
574	69398.0	NANie	Hu Tao	4.0	75.8 : 231.5 218.4 cv	32064.0	1851.0	1129.0	0.0	129.2%	39924.0
575	69399.0	ASIASakamata	Hu Tao	4.0	52.8 : 261.0 202.1 cv	32866.0	1765.0	920.0	96.0	136.9%	39924.0
576	69400.0	ASIA콜라피스도살자	Hu Tao	22.0	76.9 : 246.2 235.5 cv	31377.0	1672.0	1109.0	103.0	115.5%	39924.0
577	69401.0	ASIAketsui	Hu Tao	4.0	67.2 : 202.0 171.8 cv	33009.0	1733.0	1006.0	107.0	114.2%	39924.0
578	69402.0	EUMei	Hu Tao	4.0	64.9 : 235.4 200.6 cv	31736.0	1656.0	1022.0	86.0	137.6%	39923.0
579	69403.0	EUЭлберет	Hu Tao	4.0	62.2 : 222.9 182.7 cv	33094.0	1927.0	976.0	61.0	100.0%	39923.0
580	69404.0	ASIA쥬쥬	Hu Tao	4.0	67.6 : 185.6 156.3 cv	34621.0	1890.0	897.0	86.0	124.0%	39923.0
581	69405.0	ASIAvishnu	Hu Tao	4.0	62.9 : 241.6 202.9 cv	31706.0	1893.0	941.0	44.0	100.0%	39923.0
582	69406.0	EUSphinx	Hu Tao	4.0	64.5 : 215.2 179.6 cv	34398.0	1726.0	953.0	82.0	142.7%	39923.0
583	69407.0	NAkikyo	Hu Tao	22.0	73.4 : 244.7 227.0 cv	34771.0	1720.0	1086.0	80.0	109.7%	39923.0
584	69408.0	ASIAParacetamol	Hu Tao	4.0	39.6 : 277.4 192.0 cv	28059.0	1760.0	876.0	297.0	110.4%	39923.0
585	69409.0	NARed	Hu Tao	4.0	65.3 : 232.3 198.2 cv	34616.0	2005.0	913.0	0.0	115.5%	39923.0
586	69410.0	NAYon	Hu Tao	4.0	49.3 : 264.9 199.0 cv	34180.0	1778.0	876.0	100.0	122.0%	39923.0
587	69411.0	EU11086	Hu Tao	4.0	59.4 : 278.1 232.4 cv	32888.0	1747.0	939.0	23.0	111.0%	39922.0
588	69412.0	ASIAKuronaInu	Hu Tao	4.0	57.9 : 275.0 226.2 cv	32559.0	1693.0	1012.0	51.0	114.9%	39922.0
589	69413.0	EUsxmeer	Hu Tao	4.0	63.7 : 219.8 182.7 cv	33486.0	1703.0	925.0	93.0	122.0%	39922.0
590	69414.0	EUTempest	Hu Tao	4.0	50.9 : 251.7 188.9 cv	27845.0	1707.0	936.0	224.0	112.3%	39922.0
591	69415.0	NAЛизард	Hu Tao	4.0	52.4 : 243.1 183.4 cv	35573.0	1832.0	897.0	84.0	120.1%	39922.0
592	69416.0	EU♡sheesh♡	Hu Tao	4.0	60.6 : 275.0 231.6 cv	30959.0	1792.0	1116.0	33.0	100.0%	39922.0
593	69417.0	NAJeanene	Hu Tao	4.0	66.8 : 210.5 179.6 cv	31885.0	1651.0	976.0	124.0	123.3%	39922.0
594	69418.0	ASIAwakuwaku	Hu Tao	4.0	51.7 : 250.9 189.7 cv	33616.0	1904.0	934.0	86.0	124.6%	39922.0
595	69419.0	ASIALalatheIscream	Hu Tao	4.0	56.7 : 237.7 186.6 cv	33598.0	1804.0	971.0	89.0	110.4%	39922.0
596	69420.0	ASIAChocobo	Hu Tao	4.0	62.5 : 228.4 188.9 cv	32978.0	1703.0	1024.0	91.0	125.9%	39922.0
597	69421.0	EURaineko	Hu Tao	4.0	58.3 : 230.7 182.7 cv	34365.0	1932.0	911.0	58.0	110.4%	39922.0
598	69422.0	EUA.deeb	Hu Tao	4.0	64.5 : 269.6 234.0 cv	32909.0	1772.0	1022.0	0.0	109.7%	39922.0
599	69423.0	ASIAさやか	Hu Tao	4.0	70.3 : 207.4 183.5 cv	35818.0	1760.0	1129.0	40.0	129.8%	39922.0
600	69424.0	NAFaye	Hu Tao	22.0	73.8 : 228.4 211.4 cv	33195.0	1679.0	994.0	134.0	126.6%	39921.0
601	69425.0	EUVlrSky	Hu Tao	4.0	57.5 : 271.9 222.4 cv	32333.0	1828.0	899.0	37.0	122.7%	39921.0
602	69426.0	EUnerowo	Hu Tao	4.0	55.2 : 226.8 172.6 cv	34583.0	1943.0	1016.0	79.0	130.5%	39921.0
603	69427.0	EUE	Hu Tao	4.0	55.5 : 234.6 181.1 cv	33404.0	1709.0	1006.0	126.0	116.2%	39921.0
604	69428.0	EUJenzie	Hu Tao	4.0	52.0 : 243.1 182.6 cv	34599.0	1799.0	920.0	105.0	100.0%	39921.0
605	69429.0	EUHotaru	Hu Tao	4.0	56.7 : 215.9 164.8 cv	38543.0	1778.0	1331.0	77.0	112.3%	39921.0
606	69430.0	ASIA크리모	Hu Tao	4.0	65.3 : 247.8 213.8 cv	31437.0	1701.0	980.0	56.0	121.4%	39921.0
607	69431.0	ASIApetal	Hu Tao	4.0	60.2 : 212.8 168.7 cv	37515.0	1977.0	916.0	40.0	116.2%	39921.0
608	69432.0	EUEreb	Hu Tao	22.0	71.9 : 226.8 206.0 cv	32259.0	1821.0	1022.0	133.0	116.2%	39921.0
609	69433.0	ASIAAcksuree	Hu Tao	4.0	49.3 : 248.6 182.7 cv	34634.0	1774.0	922.0	124.0	100.0%	39921.0
610	69434.0	ASIATousiff	Hu Tao	4.0	58.7 : 202.7 155.5 cv	32709.0	1714.0	1195.0	179.0	100.0%	39921.0
611	69435.0	EUGlass	Hu Tao	4.0	50.5 : 267.3 203.7 cv	34583.0	1790.0	892.0	79.0	110.4%	39921.0
612	69436.0	ASIAKallen	Hu Tao	4.0	54.4 : 269.6 213.8 cv	33307.0	1707.0	1131.0	75.0	100.0%	39920.0
613	69437.0	NABudgett	Hu Tao	4.0	48.9 : 268.8 202.1 cv	34419.0	1824.0	876.0	82.0	133.0%	39920.0
614	69438.0	EUSuquex	Hu Tao	4.0	48.9 : 261.1 194.4 cv	35733.0	1731.0	932.0	100.0	115.5%	39920.0
615	69439.0	NATheus	Hu Tao	4.0	50.5 : 269.6 206.0 cv	31866.0	1798.0	957.0	107.0	105.2%	39920.0
616	69440.0	EUAshlee	Hu Tao	22.0	66.4 : 243.1 211.4 cv	35914.0	1672.0	1108.0	122.0	105.8%	39920.0
617	69441.0	NAGomii	Hu Tao	22.0	59.4 : 282.8 237.1 cv	33863.0	1754.0	876.0	113.0	131.7%	39920.0
618	69442.0	NAZodd	Hu Tao	22.0	66.8 : 229.9 199.0 cv	32923.0	1788.0	1129.0	159.0	100.0%	39920.0
619	69443.0	NAshewsie	Hu Tao	4.0	68.4 : 195.7 167.9 cv	27778.0	1688.0	1117.0	206.0	110.4%	39920.0
620	69444.0	NAskyller	Hu Tao	4.0	73.0 : 222.9 204.4 cv	32393.0	1626.0	978.0	56.0	122.0%	39920.0
621	69445.0	EUEmber	Hu Tao	4.0	67.6 : 211.3 181.9 cv	32891.0	2114.0	994.0	21.0	100.0%	39920.0
622	69446.0	NAQuorloa	Hu Tao	4.0	59.4 : 214.4 168.7 cv	34003.0	1786.0	978.0	112.0	100.0%	39919.0
623	69447.0	NALune	Hu Tao	4.0	60.2 : 223.7 179.6 cv	35635.0	1947.0	876.0	42.0	122.7%	39919.0
624	69448.0	ASIAZigZaG	Hu Tao	4.0	51.7 : 268.8 207.6 cv	34303.0	1682.0	1001.0	91.0	115.5%	39919.0
625	69449.0	ASIALila	Hu Tao	4.0	53.2 : 242.4 184.2 cv	27183.0	1791.0	1048.0	208.0	125.9%	39919.0
626	69450.0	NAAloyEnjoyer	Hu Tao	4.0	74.2 : 224.5 208.4 cv	31736.0	1717.0	909.0	37.0	118.1%	39919.0
627	69451.0	NAThisIsChad	Hu Tao	4.0	61.0 : 233.0 190.4 cv	35404.0	1848.0	943.0	40.0	121.4%	39918.0
628	69452.0	NAKaniseur	Hu Tao	4.0	54.0 : 240.0 183.4 cv	32222.0	1772.0	973.0	121.0	134.3%	39918.0
629	69453.0	ASIAもちお	Hu Tao	4.0	48.9 : 271.2 204.5 cv	33950.0	1769.0	985.0	98.0	128.5%	39918.0
630	69454.0	ASIAこも	Hu Tao	4.0	67.2 : 214.4 184.2 cv	34980.0	1856.0	913.0	37.0	136.3%	39918.0
631	69455.0	ASIA60160	Hu Tao	4.0	57.5 : 256.4 206.8 cv	33614.0	1751.0	1051.0	61.0	104.5%	39918.0
632	69456.0	NABoppo	Hu Tao	4.0	57.1 : 211.3 160.9 cv	34402.0	1645.0	1094.0	163.0	147.3%	39918.0
633	69457.0	ASIAJewz	Hu Tao	4.0	71.5 : 245.5 223.9 cv	31507.0	1706.0	1083.0	21.0	110.4%	39918.0
634	69458.0	NAToffee	Hu Tao	4.0	55.5 : 244.7 191.2 cv	32893.0	1771.0	1029.0	100.0	105.8%	39918.0
635	69459.0	NAKeV	Hu Tao	4.0	52.4 : 203.5 143.8 cv	37303.0	1773.0	1036.0	152.0	122.0%	39918.0
636	69460.0	ASIALyFal	Hu Tao	4.0	55.9 : 230.7 178.0 cv	35047.0	1768.0	913.0	155.0	111.7%	39917.0
637	69461.0	NAJinWoo	Hu Tao	4.0	62.5 : 227.6 188.1 cv	32231.0	1757.0	1042.0	91.0	116.2%	39917.0
638	69462.0	NAE=mc²	Hu Tao	4.0	36.5 : 286.7 195.1 cv	32251.0	1873.0	1065.0	191.0	100.0%	39917.0
